return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2014-11-08T15:45:23+00:00	102-8430144-3614662	OLL-093014-3999-OWLPHABETCRIBSET	B00BUXL34S	X000NW5RS1	Owlphabet 4 Piece Crib Bedding Set Color: Pink	1	CVG2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-11-07T19:35:11+00:00	112-7898159-0591421	TRU-073114-250-1D.LIAM.SINGING.DOLL	B0091RAVG6	X000MTWQ93	One Direction Singning Doll Collection, Liam, 12 Inch	1	LEX2	SELLABLE	UNDELIVERABLE_UNKNOWN	Unit returned to inventory
2014-11-07T19:19:10+00:00	114-8620788-9300243	TRU-072614-2000-FROZENMINIGUITAR	B00FXOTNWO	X000MPYLDL	First Act Disney Frozen Guitar - FR286	1	CVG2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-11-06T03:18:48+00:00	115-6030157-4459411	DEALS-090914-100-LILPEOPLE.PZL.SCHOOLYAR	B00ECJC3UU	X000NICJGX	Fisher-Price Little People Developmental Learning Adventure Puzzle ~ School Yard (24 Pieces)	1	LEX2	SELLABLE	SWITCHEROO	Unit returned to inventory
2014-11-05T15:00:00+00:00	113-3320822-8651447	MTL-021914-1699?-BARBIEICB.TEACHER.BLACK	B00EVX0ZF2	B00EVX0ZF2	Barbie Careers Teacher African-American Doll Playset	1	LAS2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Reimbursed
2014-10-30T05:06:02+00:00	002-5920852-6880255	OLL-082*14-LPS.RUSSELFERGUSON	B00J5PP91G	X000N8TFJH	Littlest Pet Shop Russell Ferguson Pet Hedgehog #3564	1	LEX2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-10-29T09:57:38+00:00	114-8399290-8164200	JCP-100314-1000-FIGUREPACK.LMERMAID	B003G4J1PM	X000NXSPTN	Disney Princess Exclusive Little Mermaid Figure Set - 7 pc Ariel Figurine Playset	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-10-22T00:04:44+00:00	112-5336363-5921067	L-TRU-080114-999-LM.SEBASTIAN.BEAN.PLUSH	B00C5B1QGY	X000MTWJD1	Disney Little Mermaid Beans Sebastian Plush	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-10-20T15:12:36+00:00	109-2635350-8627431	JCP-100214-1500-ELSACOSTUMEACCESSORIES	B00NF2ILJW	X000NXS6OH	Disney Frozen Elsa 5-piece Costume Accessory Set	1	LAS2	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory
2014-10-16T15:42:48+00:00	105-0114833-6833065	L-JCP-042614-1600-FROZEN.SVEN.PLUSH.LG	B00G10P1Q6	X000NXHXV9	Disney Frozen Sven Medium Plush, 15 inch	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-10-16T01:38:42+00:00	111-2608507-4038608	TGT-090814-4006-NEWWAVE.MULTICOOKER	B00IRJFSEO	X000NFOMLV	New Wave NW-800 6-in-1 Multi Cooker - Electric Pressure Cooker	1	CVG2	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory
2014-10-15T20:36:26+00:00	116-7732419-0920200	ROSES-081714-600-BARBIE.SIS.KARA	B00BRCMVUW	X000N3E4RF	Barbie So in Style S.I.S. Kara Fashion Doll	1	LAS2	DEFECTIVE	NOT_AS_DESCRIBED	Unit returned to inventory
2014-10-15T11:56:04+00:00	105-2077418-3112269	WMT-082514-597-HARLEY.2012NIGHTROD	B00EUCMKB6	X000NA87RV	2012 Harley Davidson VRSCDX Night Rod Special 1:18 Scale by Maisto Series 31	1	LEX2	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory
2014-10-06T21:10:21+00:00	108-7253687-0909010	WMT-U-100est-LPS.SWEET.SNACK.TOUCAN	B00B78570M	X000MMHJ8X	Littlest Pet Shop Sweet Snackin' Figure with Sound Toucan	1	LAS2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-10-02T17:38:38+00:00	002-5764716-2284224	ROSES-081714-1000-FLASH&amp;KIDFLASH	B005OQ3LAQ	X000N3DSMR	DC Universe Young Justice Flash And Kid Flash Figure 2-Pack	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2014-10-02T00:17:23+00:00	107-1736547-2112256	WMT-50214-100-SQUINKIES.BOYS.S2	B004XYJC4Y	X000MMHJKB	Blip Squinkies Boys Bubble Series 2	1	LEX2	SELLABLE	UNDELIVERABLE_REFUSED	Reimbursed
2014-10-01T22:38:12+00:00	104-5878749-2943449	TGT-074015-1997-TINK&amp;FRIENDS.SET.L	B00A1E9OXE	X000MSGKRD	Disney Fairies Exclusive 9 Inch Dolls Flowers Collection 6 Dolls	1	CVG2	SELLABLE	UNWANTED_ITEM	Unit returned to inventory
2014-09-29T23:08:03+00:00	116-8319863-1276216	TGT-063014-999-ELSA.TIARA&amp;JEWELRY	B00G9I3KOA	X000N3DKGL	Disney Frozen Elsa Tiara and Jewelry Set	1	LEX2	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory
2014-09-28T18:49:59+00:00	002-4492077-2571416	L-TRU-030714-3999-DP.6IN.DOLL.COLLECTION	B009AYUCEQ	X000KISBM7	My First Disney Princess  Petite Princesses Party Gift Set	1	CVG2	CARRIER_DAMAGED	UNWANTED_ITEM	Reimbursed
2014-09-25T16:51:33+00:00	107-0442798-3049045	KMT-071214-74-IONSCORPIONIMAGINEXT	B00G7HC1ES	X000MJNGD3	Fisher-Price Imaginext Ion Scorpion	1	LEX2	CUSTOMER_DAMAGED	MISSED_ESTIMATED_DELIVERY	Reimbursed
2014-09-17T14:52:12+00:00	106-8066883-2549041	MARSH-072714-2000-BRUDER.CEMENT.MIXER	B004AG780K	X000MQNTO7	Bruder Cement Mixer Truck	1	CVG2	SELLABLE	UNDELIVERABLE_UNKNOWN	Unit returned to inventory
