approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2016-03-25T00:00:00+00:00	551892651	1696048341		Lost_Inbound	NG-EF10-5D5T	B00200JX3S	B00200JX3S	Smithsonian Diggin' Up Dinosaurs T-Rex	NewItem	USD	10.31	0.00	0	2	2		
2016-03-25T00:00:00+00:00	551880881	1696047781		Lost_Inbound	746775202552-C	B00CKH9WPA	B00CKH9WPA	Keepsake Box	NewItem	USD	19.01	19.01	1	0	1		
2016-03-25T00:00:00+00:00	551880881	1696047781		Lost_Inbound	039897412092-C	B008SBKLPM	B008SBKLPM	Winx Club: Soft Doll Kiko Bunny	NewItem	USD	12.27	12.27	1	0	1		
2016-03-25T00:00:00+00:00	551880881	1696047781		Lost_Inbound	886144481239-C/M	B01316A99Q	B01316A99Q	NEW 2015 Puppy in My Pocket Puppy Charm Bracelet PINK with 3 Tiny Puppies (Border Collie, Brittany Spaniel, Lab)	NewItem	USD	9.04	0.00	0	1	1		
2016-03-25T00:00:00+00:00	551880881	1696047781		Lost_Inbound	886144481239-C	B01314ERXC	B01314ERXC	NEW 2015 Puppy in My Pocket Puppy Charm Bracelet PURPLE with 3 Tiny Puppies (Golden Retriever, Cairn Terrier, Boston Terrier)	NewItem	USD	10.26	10.26	1	0	1		
2016-03-25T00:00:00+00:00	551880881	1696047781		Lost_Inbound	886144481215-C	B0134V8HTC	B0134V8HTC	NEW 2015 Puppy in My Pocket Puppy Charm Bracelet PINK with 3 Tiny Puppies (Papillion, ? Spaniel, Dachshund)	NewItem	USD	4.96	0.00	0	1	1		
2016-03-25T00:00:00+00:00	551860921	1696045841		Lost_Inbound	C4-P0R1-I9FH	X000SSAR7V	B0046H0HYC	Bob the Builder: The Golden Hammer--The Movie	NewItem	USD	3.87	23.22	6	0	6		
2016-03-25T00:00:00+00:00	551860921	1696045841		Lost_Inbound	3N-NOBQ-NX53	X000TZWSFH	B00A92X920	Fisher-Price Nickelodeon Bubble Guppies Friends Molly Plush	NewItem	USD	13.89	13.89	1	2	3		
2016-03-25T00:00:00+00:00	551860921	1696045841		Lost_Inbound	N9-2BJ6-249I	X000SSAUUZ	B001LXIDTA	Wallace and Gromit: The Wrong Trousers	NewItem	USD	14.26	28.52	2	0	2		
2016-03-22T00:00:00+00:00	548775171			Damaged_Warehouse	NG-EF10-5D5T	B00200JX3S	B00200JX3S	Smithsonian Diggin' Up Dinosaurs T-Rex	NewItem	USD	10.31	0.00	0	1	1		
